country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,22-02-2021,0,0,,,,0,0,,,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,23-02-2021,,,,,1367,,,,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,24-02-2021,,,,,1367,,,,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,25-02-2021,,,,,1367,,,,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,26-02-2021,,,,,1367,,,,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,27-02-2021,,,,,1367,,,,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,28-02-2021,8200,8200,,,1367,0.02,0.02,,35,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,01-03-2021,,,,,1580,,,,41,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,02-03-2021,,,,,1794,,,,46,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,03-03-2021,,,,,2008,,,,52,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,04-03-2021,,,,,2221,,,,57,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,05-03-2021,,,,,2435,,,,63,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,06-03-2021,,,,,2649,,,,68,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,07-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,08-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,09-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,10-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,11-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,12-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,13-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,14-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,15-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,16-03-2021,54000,54000,,,2862,0.14,0.14,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,17-03-2021,,,,,2882,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,18-03-2021,,,,,2902,,,,75,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,19-03-2021,,,,,2921,,,,75,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,20-03-2021,,,,,2941,,,,76,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,21-03-2021,,,,,2961,,,,76,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,22-03-2021,,,,,2980,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,23-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,24-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,25-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,26-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,27-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,28-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,29-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,30-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,31-03-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
Afghanistan,AFG,01-04-2021,,,,,3000,,,,77,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-04/07/c_139864755.htm
